User ID: 1 | Command_ID: 15265 | Command: sleep 0.2 | Tempo de espera: 0ms | Tempo de execução: 213ms | Tempo Total: 213ms
User ID: 1 | Command_ID: 15263 | Command: sleep 0.5 | Tempo de espera: 0ms | Tempo de execução: 514ms | Tempo Total: 514ms
User ID: 1 | Command_ID: 15264 | Command: sleep 1 | Tempo de espera: 0ms | Tempo de execução: 1016ms | Tempo Total: 1016ms
User ID: 3 | Command_ID: 15274 | Command: sleep 0.5 | Tempo de espera: 506ms | Tempo de execução: 509ms | Tempo Total: 1015ms
User ID: 1 | Command_ID: 15266 | Command: echo stress_ok | Tempo de espera: 1015ms | Tempo de execução: 9ms | Tempo Total: 1024ms
User ID: 2 | Command_ID: 15268 | Command: sleep 1 | Tempo de espera: 210ms | Tempo de execução: 1011ms | Tempo Total: 1221ms
User ID: 4 | Command_ID: 15278 | Command: sleep 0.5 | Tempo de espera: 1015ms | Tempo de execução: 511ms | Tempo Total: 1526ms
User ID: 2 | Command_ID: 15267 | Command: sleep 0.5 | Tempo de espera: 1221ms | Tempo de execução: 509ms | Tempo Total: 1730ms
User ID: 2 | Command_ID: 15269 | Command: sleep 0.2 | Tempo de espera: 1728ms | Tempo de execução: 207ms | Tempo Total: 1935ms
User ID: 2 | Command_ID: 15272 | Command: echo stress_ok | Tempo de espera: 1936ms | Tempo de execução: 6ms | Tempo Total: 1942ms
User ID: 3 | Command_ID: 15277 | Command: echo stress_ok | Tempo de espera: 1939ms | Tempo de execução: 5ms | Tempo Total: 1944ms
User ID: 3 | Command_ID: 15275 | Command: sleep 1 | Tempo de espera: 1014ms | Tempo de execução: 1011ms | Tempo Total: 2025ms
User ID: 3 | Command_ID: 15276 | Command: sleep 0.2 | Tempo de espera: 1945ms | Tempo de execução: 211ms | Tempo Total: 2156ms
User ID: 4 | Command_ID: 15281 | Command: echo stress_ok | Tempo de espera: 2152ms | Tempo de execução: 6ms | Tempo Total: 2158ms
User ID: 4 | Command_ID: 15280 | Command: sleep 0.2 | Tempo de espera: 2021ms | Tempo de execução: 210ms | Tempo Total: 2231ms
User ID: 4 | Command_ID: 15279 | Command: sleep 1 | Tempo de espera: 1526ms | Tempo de execução: 1012ms | Tempo Total: 2538ms
User ID: 1 | Command_ID: 18188 | Command: echo ping_test | Tempo de espera: 0ms | Tempo de execução: 6ms | Tempo Total: 6ms
User ID: 2 | Command_ID: 18196 | Command: sleep 0.5 | Tempo de espera: 0ms | Tempo de execução: 510ms | Tempo Total: 510ms
User ID: 3 | Command_ID: 18197 | Command: sleep 0.5 | Tempo de espera: 0ms | Tempo de execução: 510ms | Tempo Total: 510ms
